	Cleavage	Brown	Mid	Late/Larvae	Metam	Adult
Aqu2.1.14728_001	2.734758587	0.904522727	0.148166007	0.677584449	0.045140101	0.198471767
Aqu2.1.14729_001	0	0	0.119610202	0	0	0
Aqu2.1.14730_001	0	0	0	0	0.091612942	0.103279368
Aqu2.1.14731_001	0	0	0	0	0.050674256	0
Aqu2.1.14732_001	0.516437337	0	0.075101145	0.042559666	0.056158638	0
Aqu2.1.14733_001	0.085147544	0.077748322	0.123078473	0.014698192	0.272915691	0.681729206
Aqu2.1.14734_001	0.479044301	0.208277157	0.123706481	0.385749235	0.246721155	0.21631918
Aqu2.1.14737_001	0	0.077748322	0.022638037	0.138030328	0.196917176	0.195383124
Aqu2.1.14738_001	1.37393198	0.976584372	0.117196972	1.458465466	0.810979279	0.671121861
Aqu2.1.14739_001	0	0	0.114765496	0.31663056	0.242880051	0.099235884
Aqu2.1.14741_001	0.774453269	0.202525411	1.414660062	0.965708847	1.127522727	1.201057579
Aqu2.1.14742_001	5.224541405	0.283263249	0.019469475	0.06465775	0	2.546310386
Aqu2.1.14743_001	0.054489585	0.249954883	0.349552618	1.015755879	0.715636869	25.16892227
Aqu2.1.14744_001	0	0	0.010328839	0.014220502	0.259490642	0.253052131
Aqu2.1.14745_001	0	0.18087788	0.019935034	0.060999013	0.136254662	0.455558702
Aqu2.1.14746_001	0.479044301	0	0.045276073	0.070122157	0.132433514	0.388469332
Aqu2.1.14747_001	9.144095822	3.466324799	1.721391906	1.790062942	2.702859194	1.777679736
Aqu2.1.14748_001	18.58885188	14.47488768	14.40406134	13.54669162	28.25536418	28.70983318
Aqu2.1.14749_001	0.479044301	0	0.363678566	0.220448638	2.47113581	3.489382712
